Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
64.17425.6DL,CHIP RES 17.4K F 1/16W 0402,1,402,16,17400,0.01
64.17815.6DL,CHIP RES 1.78K F 1/16W 0402,1,402,16,1780,0.01
64.17825.6DL,CHIP RES 17.8K F 1/16W 0402,1,402,16,17800,0.01
64.18025.6DL,CHIP RES 18K F 1/16W 0402,1,402,16,18000,0.01
64.18235.6DL,CHIP RES 182K F 1/16W 0402,1,402,16,182000,0.01
64.18725.6DL,CHIP RES 18.7K F 1/16W 0402,1,402,16,18700,0.01
64.19115.6DL,CHIP RES 1.91K F 1/16W 0402,1,402,16,1910,0.01
64.19135.6DL,CHIP RES 191K F 1/16W 0402,1,402,16,191000,0.01
64.19635.6DL,CHIP RES 196K F 1/16W 0402(LF),1,402,16,196000,0.01
64.1R005.6DL,CHIP RES 1 F 1/16W 0402,1,402,16,1,0.01
64.1R005.L0L,CHIP RES 1 F 1/16W 0402 13 REEL,1,402,16,1,0.01
64.20005.6DL,CHIP RES 200 F 1/16W 0402,1,402,16,200,0.01
64.20005.L0L,CHIP RES 200 F 1/16W 0402 13 REEL,1,402,16,200,0.01
64.20015.6DL,CHIP RES 2K F 1/16W 0402,1,402,16,2000,0.01
64.20015.L0L,CHIP RES 2K F 1/16W 0402 13 REEL,1,402,16,2000,0.01
64.20025.6DL,CHIP RES 20K F 1/16W 0402,1,402,16,20000,0.01
64.20025.L0L,CHIP RES 20K F 1/16W 0402 13 REEL,1,402,16,20000,0.01
64.20035.6DL,CHIP RES 200K F 1/16W 0402,1,402,16,200000,0.01
64.20035.L4L,CHIP RES 200K F 1/16W 0402 13 REEL,1,402,16,200000,0.01
64.20045.6DL,CHIP RES 2M F 1/16W 0402,1,402,16,2000000,0.01
64.20525.6DL,CHIP RES 20.5K F 1/16W 0402,1,402,16,20500,0.01
64.22035.6DL,CHIP RES 220K F 1/16W 0402,1,402,16,220000,0.01
64.22035.L1L,CHIP RES 220K F 1/16W 0402,1,402,16,220000,0.01
64.22125.6DL,CHIP RES 22.1K F 1/16W 0402,1,402,16,22100,0.01
64.23225.6DL,CHIP RES 23.2K F 1/16W 0402,1,402,16,23200,0.01
64.23715.6DL,CHIP RES 2.37K F 1/16W 0402,1,402,16,2370,0.01
64.23725.6DL,CHIP RES 23.7K F 1/16W 0402,1,402,16,23700,0.01
64.24025.6DL,CHIP RES 24K F 1/16W 0402,1,402,16,24000,0.01
64.24915.6DL,CHIP RES 2.49K F 1/16W 0402,1,402,16,2490,0.01
64.24915.L0L,CHIP RES 2.49K F 1/16W 0402 13 REEL,1,402,16,2490,0.01
64.24925.6DL,CHIP RES 24.9K F 1/16W 0402,1,402,16,24900,0.01
64.24R95.6DL,CHIP RES 24.9 F 1/16W 0402,1,402,16,24900,0.01
64.25505.6DL,CHIP RES 255 F 1/16W 0402,1,402,16,255,0.01
64.25515.6DL,CHIP RES 2.55K F 1/16W 0402,1,402,16,2550,0.01
64.25525.6DL,CHIP RES 25.5K F 1/16W 0402,1,402,16,25500,0.01
64.25535.6DL,CHIP RES 255K F 1/16W 0402,1,402,16,255000,0.01
64.26115.6DL,CHIP RES 2.61K F 1/16W 0402,1,402,16,2610,0.01
64.26125.6DL,CHIP RES 26.1K F 1/16W 0402,1,402,16,26100,0.01
